kappa,rep,rho,wald_none_t1,wald_none_bh,wald_logN_t1,wald_logN_bh,wald_zola_t1,wald_zola_bh,perm_plain_C_t1,perm_plain_C_bh,perm_plain_O_t1,perm_plain_O_bh,perm_strata_O_t1,perm_strata_O_bh
2.0,4,0.356,0.7291666666666666,67,0.11578947368421053,0,0.13186813186813187,0,0.7291666666666666,69,0.14583333333333334,0,0.08333333333333333,0
2.0,5,0.368,0.4791666666666667,26,0.031578947368421054,0,0.054945054945054944,0,0.4583333333333333,27,0.052083333333333336,0,0.052083333333333336,0
2.0,6,0.384,0.4375,4,0.042105263157894736,0,0.06593406593406594,0,0.4270833333333333,6,0.08333333333333333,0,0.0625,0
2.0,7,0.357,0.53125,41,0.031578947368421054,0,0.02197802197802198,0,0.5104166666666666,43,0.020833333333333332,0,0.020833333333333332,0
2.0,8,0.428,0.4479166666666667,34,0.06315789473684211,0,0.07692307692307693,0,0.4479166666666667,35,0.0625,0,0.10416666666666667,0
2.0,9,0.433,0.5833333333333334,47,0.021052631578947368,0,0.06593406593406594,0,0.6041666666666666,50,0.07291666666666667,0,0.0,0
2.0,10,0.406,0.4791666666666667,20,0.042105263157894736,0,0.054945054945054944,1,0.4583333333333333,23,0.0625,0,0.09375,0
2.0,11,0.412,0.5833333333333334,43,0.05263157894736842,0,0.054945054945054944,0,0.59375,47,0.0625,0,0.03125,0
2.0,12,0.41,0.71875,60,0.14736842105263157,0,0.08791208791208792,0,0.7291666666666666,59,0.125,3,0.08333333333333333,0
2.0,13,0.425,0.6770833333333334,60,0.042105263157894736,0,0.054945054945054944,0,0.6770833333333334,57,0.07291666666666667,0,0.020833333333333332,0
2.0,14,0.391,0.6145833333333334,53,0.042105263157894736,0,0.07692307692307693,0,0.6041666666666666,51,0.10416666666666667,0,0.020833333333333332,0
2.0,15,0.357,0.6354166666666666,54,0.031578947368421054,0,0.06593406593406594,1,0.6354166666666666,53,0.10416666666666667,0,0.052083333333333336,0
2.0,16,0.411,0.5729166666666666,46,0.021052631578947368,0,0.054945054945054944,0,0.5833333333333334,44,0.08333333333333333,0,0.020833333333333332,0
2.0,17,0.372,0.5625,45,0.07368421052631578,0,0.07692307692307693,0,0.53125,45,0.08333333333333333,0,0.041666666666666664,0
2.0,18,0.385,0.6041666666666666,42,0.06315789473684211,0,0.08791208791208792,0,0.6041666666666666,44,0.052083333333333336,0,0.03125,0
2.0,19,0.357,0.3645833333333333,11,0.05263157894736842,0,0.07692307692307693,1,0.40625,20,0.07291666666666667,0,0.0625,0
