cell,rep,method,arm,weight,secs,nfail,nrej,fdp,tpr,tprP,typeI,replica_corr
2001,8,twochannel,A1,none,55.5,0,11,0.09090909090909091,1.0,1.0,0.06666666666666667,
2001,8,twochannel,A2,Wdet,,0,11,0.09090909090909091,1.0,1.0,,
2001,8,twochannel,A2,Winfo,,0,11,0.09090909090909091,1.0,1.0,,
2001,8,wilcoxon,A0,none,0.1,0,12,0.16666666666666666,1.0,1.0,0.044444444444444446,
2001,8,wilcoxon,A1,none,,0,11,0.09090909090909091,1.0,1.0,0.03333333333333333,
2001,8,wilcoxon,A2,Wdet,,0,11,0.09090909090909091,1.0,1.0,,
2001,8,wilcoxon,A2,Winfo,,0,11,0.09090909090909091,1.0,1.0,,
2001,8,linda,A0,none,4.6,0,11,0.09090909090909091,1.0,1.0,0.044444444444444446,0.9993292958175497
2001,8,linda,A1,none,,0,11,0.09090909090909091,1.0,1.0,0.044444444444444446,
2001,8,linda,A2,Wdet,,0,11,0.09090909090909091,1.0,1.0,,
2001,8,linda,A2,Winfo,,0,11,0.09090909090909091,1.0,1.0,,
2001,8,zinq,A0,none,6.4,0,12,0.16666666666666666,1.0,1.0,0.044444444444444446,
2001,8,zinq,A2,Wdet,,0,11,0.09090909090909091,1.0,1.0,,
2001,8,zinq,A2,Winfo,,0,12,0.16666666666666666,1.0,1.0,,
2001,8,locom,A1n,none,35.6,57,8,0.0,0.8,0.8,0.058823529411764705,
2001,8,locom,A2,Wdet,,57,8,0.0,0.8,0.8,,
2001,8,locom,A2,Winfo,,57,8,0.0,0.8,0.8,,
2001,9,twochannel,A1,none,52.7,0,10,0.0,1.0,1.0,0.044444444444444446,
2001,9,twochannel,A2,Wdet,,0,10,0.0,1.0,1.0,,
2001,9,twochannel,A2,Winfo,,0,10,0.0,1.0,1.0,,
2001,9,wilcoxon,A0,none,0.0,0,10,0.0,1.0,1.0,0.022222222222222223,
2001,9,wilcoxon,A1,none,,0,11,0.09090909090909091,1.0,1.0,0.022222222222222223,
2001,9,wilcoxon,A2,Wdet,,0,10,0.0,1.0,1.0,,
2001,9,wilcoxon,A2,Winfo,,0,10,0.0,1.0,1.0,,
2001,9,linda,A0,none,4.1,0,10,0.0,1.0,1.0,0.03333333333333333,0.9992308730442693
2001,9,linda,A1,none,,0,11,0.09090909090909091,1.0,1.0,0.03333333333333333,
2001,9,linda,A2,Wdet,,0,11,0.09090909090909091,1.0,1.0,,
2001,9,linda,A2,Winfo,,0,10,0.0,1.0,1.0,,
2001,9,zinq,A0,none,4.9,2,10,0.0,1.0,1.0,0.022727272727272728,
2001,9,zinq,A2,Wdet,,2,10,0.0,1.0,1.0,,
2001,9,zinq,A2,Winfo,,2,10,0.0,1.0,1.0,,
2001,9,locom,A1n,none,16.4,62,7,0.14285714285714285,0.6,0.6,0.03571428571428571,
2001,9,locom,A2,Wdet,,62,7,0.14285714285714285,0.6,0.6,,
2001,9,locom,A2,Winfo,,62,7,0.14285714285714285,0.6,0.6,,
2001,10,twochannel,A1,none,49.5,0,10,0.0,1.0,1.0,0.03333333333333333,
2001,10,twochannel,A2,Wdet,,0,10,0.0,1.0,1.0,,
2001,10,twochannel,A2,Winfo,,0,10,0.0,1.0,1.0,,
2001,10,wilcoxon,A0,none,0.0,0,11,0.09090909090909091,1.0,1.0,0.03333333333333333,
2001,10,wilcoxon,A1,none,,0,11,0.09090909090909091,1.0,1.0,0.03333333333333333,
2001,10,wilcoxon,A2,Wdet,,0,11,0.09090909090909091,1.0,1.0,,
2001,10,wilcoxon,A2,Winfo,,0,11,0.09090909090909091,1.0,1.0,,
2001,10,linda,A0,none,2.6,0,10,0.0,1.0,1.0,0.06666666666666667,0.9984478452154898
2001,10,linda,A1,none,,0,10,0.0,1.0,1.0,0.03333333333333333,
2001,10,linda,A2,Wdet,,0,10,0.0,1.0,1.0,,
2001,10,linda,A2,Winfo,,0,10,0.0,1.0,1.0,,
2001,10,zinq,A0,none,4.9,0,11,0.09090909090909091,1.0,1.0,0.06666666666666667,
2001,10,zinq,A2,Wdet,,0,11,0.09090909090909091,1.0,1.0,,
2001,10,zinq,A2,Winfo,,0,11,0.09090909090909091,1.0,1.0,,
2001,10,locom,A1n,none,45.9,64,8,0.0,0.8,0.8,0.0,
2001,10,locom,A2,Wdet,,64,8,0.0,0.8,0.8,,
2001,10,locom,A2,Winfo,,64,8,0.0,0.8,0.8,,
2001,11,twochannel,A1,none,54.6,0,11,0.09090909090909091,1.0,1.0,0.03333333333333333,
2001,11,twochannel,A2,Wdet,,0,11,0.09090909090909091,1.0,1.0,,
2001,11,twochannel,A2,Winfo,,0,10,0.0,1.0,1.0,,
2001,11,wilcoxon,A0,none,0.0,0,11,0.09090909090909091,1.0,1.0,0.05555555555555555,
2001,11,wilcoxon,A1,none,,0,11,0.09090909090909091,1.0,1.0,0.05555555555555555,
2001,11,wilcoxon,A2,Wdet,,0,10,0.0,1.0,1.0,,
2001,11,wilcoxon,A2,Winfo,,0,10,0.0,1.0,1.0,,
2001,11,linda,A0,none,2.6,0,11,0.09090909090909091,1.0,1.0,0.044444444444444446,0.9986202031207937
2001,11,linda,A1,none,,0,11,0.09090909090909091,1.0,1.0,0.07777777777777778,
2001,11,linda,A2,Wdet,,0,11,0.09090909090909091,1.0,1.0,,
2001,11,linda,A2,Winfo,,0,10,0.0,1.0,1.0,,
2001,11,zinq,A0,none,3.5,3,10,0.0,1.0,1.0,0.034482758620689655,
2001,11,zinq,A2,Wdet,,3,10,0.0,1.0,1.0,,
2001,11,zinq,A2,Winfo,,3,10,0.0,1.0,1.0,,
2001,11,locom,A1n,none,63.4,64,6,0.0,0.6,0.6,0.038461538461538464,
2001,11,locom,A2,Wdet,,64,6,0.0,0.6,0.6,,
2001,11,locom,A2,Winfo,,64,6,0.0,0.6,0.6,,
2001,12,twochannel,A1,none,50.7,0,10,0.0,1.0,1.0,0.12222222222222222,
2001,12,twochannel,A2,Wdet,,0,10,0.0,1.0,1.0,,
2001,12,twochannel,A2,Winfo,,0,10,0.0,1.0,1.0,,
2001,12,wilcoxon,A0,none,0.1,0,13,0.23076923076923078,1.0,1.0,0.1,
2001,12,wilcoxon,A1,none,,0,12,0.16666666666666666,1.0,1.0,0.08888888888888889,
2001,12,wilcoxon,A2,Wdet,,0,11,0.09090909090909091,1.0,1.0,,
2001,12,wilcoxon,A2,Winfo,,0,13,0.23076923076923078,1.0,1.0,,
2001,12,linda,A0,none,2.6,0,12,0.16666666666666666,1.0,1.0,0.044444444444444446,0.9984158871413583
2001,12,linda,A1,none,,0,17,0.4117647058823529,1.0,1.0,0.14444444444444443,
2001,12,linda,A2,Wdet,,0,11,0.09090909090909091,1.0,1.0,,
2001,12,linda,A2,Winfo,,0,11,0.09090909090909091,1.0,1.0,,
2001,12,zinq,A0,none,3.8,4,12,0.16666666666666666,1.0,1.0,0.06976744186046512,
2001,12,zinq,A2,Wdet,,4,11,0.09090909090909091,1.0,1.0,,
2001,12,zinq,A2,Winfo,,4,11,0.09090909090909091,1.0,1.0,,
2001,12,locom,A1n,none,14.5,66,10,0.1,0.9,0.9,0.041666666666666664,
2001,12,locom,A2,Wdet,,66,10,0.1,0.9,0.9,,
2001,12,locom,A2,Winfo,,66,10,0.1,0.9,0.9,,
2001,13,twochannel,A1,none,61.2,0,11,0.09090909090909091,1.0,1.0,0.022222222222222223,
2001,13,twochannel,A2,Wdet,,0,10,0.0,1.0,1.0,,
2001,13,twochannel,A2,Winfo,,0,10,0.0,1.0,1.0,,
2001,13,wilcoxon,A0,none,0.0,0,11,0.09090909090909091,1.0,1.0,0.03333333333333333,
2001,13,wilcoxon,A1,none,,0,11,0.09090909090909091,1.0,1.0,0.03333333333333333,
2001,13,wilcoxon,A2,Wdet,,0,10,0.0,1.0,1.0,,
2001,13,wilcoxon,A2,Winfo,,0,10,0.0,1.0,1.0,,
2001,13,linda,A0,none,2.9,0,10,0.0,1.0,1.0,0.03333333333333333,0.99909372376164
2001,13,linda,A1,none,,0,11,0.09090909090909091,1.0,1.0,0.03333333333333333,
2001,13,linda,A2,Wdet,,0,10,0.0,1.0,1.0,,
2001,13,linda,A2,Winfo,,0,10,0.0,1.0,1.0,,
2001,13,zinq,A0,none,3.9,0,11,0.09090909090909091,1.0,1.0,0.05555555555555555,
