cell,rep,n,phi_hat,smoke_seen,det_tested,int_tested,nrej_acat,fdp_acat,tpr_acat,tprA_acat,tprP_acat,nrej_chisq,fdp_chisq,tpr_chisq,tprA_chisq,tprP_chisq,nrej_det,fdp_det,tpr_det,nrej_int,fdp_int,tpr_int,typeI_null,secs
1004,8,200,100000.0,False,98,92,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,2,0.0,0.2,0.07777777777777778,11.6
1004,9,200,100000.0,False,100,91,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0,0.0,0.0,0.07777777777777778,11.6
1004,10,200,100000.0,False,98,89,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0,0.0,0.0,0.05555555555555555,12.1
1004,11,200,100000.0,False,98,92,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0,0.0,0.0,0.011111111111111112,11.5
1004,12,200,100000.0,False,100,94,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0,0.0,0.0,0.044444444444444446,12.1
1004,13,200,100000.0,False,97,93,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0,0.0,0.0,0.03333333333333333,11.7
1004,14,200,100000.0,False,96,85,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0,0.0,0.0,0.05555555555555555,11.6
1004,15,200,100000.0,False,99,87,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0,0.0,0.0,0.06666666666666667,11.6
1004,16,200,100000.0,False,99,88,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0,0.0,0.0,0.05555555555555555,11.9
1004,17,200,100000.0,False,96,84,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0,0.0,0.0,0.044444444444444446,11.8
1004,18,200,100000.0,False,98,92,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0,0.0,0.0,0.05555555555555555,12.3
1004,19,200,100000.0,False,97,90,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0,0.0,0.0,0.044444444444444446,12.5
1005,0,200,100000.0,True,100,100,11,0.09090909090909091,1.0,1.0,,11,0.09090909090909091,1.0,1.0,,0,0.0,0.0,9,0.0,0.9,0.05555555555555555,11.6
1005,1,200,10000.0,True,100,100,9,0.0,0.9,0.9,,9,0.0,0.9,0.9,,2,0.0,0.2,9,0.0,0.9,0.03333333333333333,12.7
1005,2,200,10000.0,True,100,100,11,0.18181818181818182,0.9,0.9,,10,0.0,1.0,1.0,,0,0.0,0.0,11,0.18181818181818182,0.9,0.05555555555555555,11.4
1005,3,200,100000.0,True,100,100,10,0.0,1.0,1.0,,10,0.0,1.0,1.0,,2,0.0,0.2,9,0.0,0.9,0.08888888888888889,12.5
1005,4,200,10000.0,True,100,100,10,0.0,1.0,1.0,,11,0.09090909090909091,1.0,1.0,,0,0.0,0.0,10,0.0,1.0,0.044444444444444446,11.9
1005,5,200,100000.0,False,100,100,12,0.16666666666666666,1.0,1.0,,11,0.09090909090909091,1.0,1.0,,0,0.0,0.0,12,0.16666666666666666,1.0,0.07777777777777778,12.3
1005,6,200,100000.0,False,100,100,11,0.09090909090909091,1.0,1.0,,11,0.09090909090909091,1.0,1.0,,0,0.0,0.0,13,0.23076923076923078,1.0,0.06666666666666667,12.5
